,autore_source,autore_target
183,3352351625,1444509260
184,1863384008,1444509260
185,1215987634981560321,1444509260
186,893517298958467073,1444509260
187,899567373367345152,1444509260
188,123228803,1444509260
189,1373003899,1444509260
190,1231518169149444096,1444509260
191,903585901548371969,1444509260
192,949743169276702720,1444509260
193,1208014140058550274,1444509260
194,968096617944506368,1444509260
195,1172571984967942146,1029127514
196,1172571984967942146,1029127514
197,1183381612635086849,2377487094
198,1144583120911589378,2377487094
199,2407748559,2377487094
200,1176618985,2377487094
201,1109824066612006913,2377487094
202,1557557558,2377487094
203,456890106,2377487094
204,2460371842,2377487094
205,553567662,2377487094
206,3350748820,2377487094
207,1169506849,2377487094
208,3245489297,2377487094
209,489331719,2377487094
210,440247035,2377487094
211,986292469682855938,2377487094
212,1033781605565902848,2377487094
213,1148226661,2377487094
214,948890995185287168,2377487094
215,849990387255177220,2377487094
216,1203412040154529793,2377487094
217,1170008913758052353,2377487094
218,2883001715,2377487094
219,222176911,2377487094
220,997782892355969025,2377487094
221,237363727,2377487094
222,1220031498105032705,2377487094
223,1265764471458402305,2377487094
224,2862730168,2377487094
225,2445508352,2377487094
226,850457504303783940,2377487094
227,993201708137361409,2377487094
228,350810508,2377487094
229,741338484,2377487094
230,1171345821616549888,2377487094
231,415666601,2377487094
232,911650004955226113,2377487094
233,927122457894453248,2377487094
234,375544141,2377487094
235,2753392024,2377487094
236,821879334,2377487094
237,2954454747,2377487094
238,4387850548,2377487094
239,501870394,2377487094
240,1032721983744688129,2377487094
241,1020502986,2377487094
242,1248651232874508288,2377487094
243,1006873192374382592,2377487094
244,164788311,2377487094
245,4160203479,2377487094
246,1260828139397283841,2377487094
247,1243940685545459714,2377487094
248,141509471,2377487094
249,3047103415,2377487094
250,3236319436,2425714605
251,477757835,2425714605
252,750670310,2425714605
253,50372471,930151490076991488
254,1185037188855148545,930151490076991488
255,1099057975669477376,930151490076991488
256,1223954414807011328,930151490076991488
257,951064045586714624,930151490076991488
258,1004030031457333253,930151490076991488
259,839559591746801667,930151490076991488
260,763146166620057600,930151490076991488
261,1018921420519301121,797543748
262,973247240822280192,797543748
263,3892072667,469488146
264,820561067810189313,469488146
265,1444400034,469488146
266,1493603834,469488146
267,860027361504493568,469488146
268,461499007,469488146
269,2737488137,469488146
270,1047925196064284674,469488146
271,1058447358,469488146
272,794288701702553600,469488146
273,2617470937,469488146
274,3431179509,469488146
275,887707547284762624,469488146
276,440129638,469488146
277,1025041897,436785388
278,896479197081853956,1063806444380798976
279,1090595328460509190,1063806444380798976
280,3368018859,1063806444380798976
281,493833883,1063806444380798976
282,2595566549,1063806444380798976
283,1123179943037423617,1063806444380798976
284,440247035,1063806444380798976
285,2437293810,1063806444380798976
286,1112453260210855936,1063806444380798976
287,1239966136491483136,1063806444380798976
288,850457504303783940,1063806444380798976
289,2508021147,1063806444380798976
290,580096126,1063806444380798976
291,100878763,1063806444380798976
292,1223954414807011328,1063806444380798976
293,1042906497129361408,1063806444380798976
294,1164984096554196995,1063806444380798976
295,1260518365,1063806444380798976
296,896048840947765249,1063806444380798976
297,4160203479,1063806444380798976
298,1253076614088478720,1063806444380798976
299,1193780617,1063806444380798976
300,11540552,1063806444380798976
301,435673164,1063806444380798976
302,3327831430,1063806444380798976
303,824215230846791680,1063806444380798976
304,710579736519512064,1063806444380798976
305,2862730168,1063806444380798976
306,1254862886708666375,2786931383
307,1052518020,365462238
308,2535751839,365462238
309,1276488118548541446,365462238
310,172028905,365462238
311,510786998,365462238
312,1011308525807693829,365462238
313,215374702,365462238
314,3084322354,365462238
315,1274828413,365462238
316,460621163,365462238
317,505854184,365462238
318,1052306374661689344,365462238
319,989504701266890752,365462238
320,2804109824,365462238
321,381953555,365462238
322,1024815016414011393,365462238
323,228176071,365462238
324,3024514187,365462238
325,18935802,365462238
